iter	Passed	Remaining
0	60	60903
1	61	30664
2	61	20561
3	62	15471
4	62	12430
5	62	10401
6	63	8942
7	63	7854
8	63	7013
9	63	6334
10	64	5776
11	64	5313
12	64	4917
13	65	4579
14	65	4287
15	65	4031
16	65	3804
17	66	3602
18	66	3423
19	66	3261
20	66	3112
21	67	2980
22	67	2862
23	67	2752
24	68	2655
25	68	2560
26	68	2472
27	68	2390
28	69	2313
29	69	2244
30	69	2180
31	69	2117
32	70	2059
33	70	2004
34	70	1952
35	71	1902
36	71	1855
37	71	1810
38	71	1768
39	72	1728
40	72	1690
41	72	1653
42	72	1619
43	73	1586
44	73	1556
45	73	1526
46	73	1497
47	74	1469
48	74	1442
49	74	1416
50	74	1392
51	75	1367
52	75	1345
53	75	1322
54	75	1301
55	75	1280
56	76	1261
57	76	1242
58	76	1223
59	76	1206
60	77	1190
61	77	1174
62	77	1159
63	78	1143
64	78	1128
65	78	1115
66	79	1101
67	79	1087
68	79	1073
69	79	1061
70	80	1048
71	80	1035
72	80	1023
73	80	1011
74	81	1000
75	81	988
76	81	977
77	81	966
78	82	956
79	82	946
80	82	936
81	82	926
82	82	915
83	83	906
84	83	897
85	83	888
86	83	879
87	84	870
88	84	862
89	84	854
90	84	846
91	84	838
92	85	831
93	85	823
94	85	816
95	85	809
96	86	803
97	86	796
98	86	789
99	87	783
100	87	776
101	87	770
102	87	764
103	88	758
104	88	752
105	88	746
106	88	740
107	89	735
108	89	729
109	89	723
110	89	718
111	89	712
112	90	707
113	90	702
114	90	697
115	90	692
116	90	686
117	91	681
118	91	676
119	91	672
120	91	667
121	91	662
122	92	658
123	92	654
124	92	650
125	93	645
126	93	640
127	93	636
128	93	632
129	94	629
130	94	625
131	94	621
132	94	617
133	95	614
134	95	610
135	95	606
136	95	603
137	96	599
138	96	596
139	96	592
140	96	589
141	96	585
142	97	581
143	97	579
144	97	576
145	98	573
146	98	570
147	98	567
148	98	564
149	99	561
150	99	558
151	99	556
152	100	553
153	100	550
154	100	547
155	100	545
156	100	542
157	101	539
158	101	537
159	101	534
160	101	531
161	102	528
162	102	526
163	102	524
164	103	521
165	103	519
166	103	517
167	103	514
168	104	512
169	104	510
170	104	507
171	105	505
172	105	503
173	105	500
174	105	498
175	105	495
176	106	493
177	106	491
178	106	489
179	107	487
180	107	485
181	107	483
182	107	481
183	108	479
184	108	477
185	109	477
186	109	475
187	109	474
188	110	472
189	110	470
190	110	468
191	110	466
192	111	464
193	111	462
194	111	460
195	111	458
196	112	457
197	112	455
198	112	453
199	112	451
200	113	449
201	113	447
202	113	446
203	113	444
204	114	442
205	114	440
206	114	438
207	114	437
208	115	435
209	115	433
210	115	431
211	115	430
212	115	428
213	116	426
214	116	425
215	116	423
216	116	421
217	117	420
218	117	419
219	117	417
220	118	415
221	118	414
222	118	413
223	118	411
224	119	409
225	119	408
226	119	406
227	119	405
228	120	404
229	120	403
230	120	401
231	121	400
232	121	399
233	121	398
234	121	397
235	122	395
236	122	394
237	122	392
238	122	391
239	123	390
240	123	388
241	123	387
242	123	385
243	124	384
244	124	383
245	124	381
246	124	380
247	124	379
248	125	377
